geoid,male_35_39,male_40_44,female_35_39,female_40_44
04013010102,96,66,142,17
04013010103,40,140,123,110
04013010104,0,0,0,0
04013030401,37,22,86,0
04013030402,32,35,60,44
04013040502,101,85,18,82
04013040506,37,0,0,0
04013040507,3,0,36,23
04013040512,0,0,0,4
04013040513,10,0,12,0
04013040514,0,16,0,0
04013040515,84,145,75,93
04013040516,421,83,302,134
04013040522,20,0,0,0
04013040523,0,0,0,0
04013040524,0,0,0,8
04013040525,0,56,0,6
04013040526,0,0,0,55
04013040527,18,116,132,84
04013040528,73,18,0,0
04013040529,0,0,0,0
04013040530,120,24,17,111
04013040531,72,0,85,23
04013040532,290,300,337,353
04013040533,197,151,157,67
04013040534,0,0,0,0
04013040535,203,184,323,88
04013040536,133,497,323,416
04013040537,96,87,132,26
04013040538,308,36,189,112
04013040539,164,75,143,215
04013040540,42,356,172,157
04013040541,24,184,72,260
04013050603,362,119,319,114
04013050604,199,105,269,13
04013050609,91,143,105,146
04013050611,340,242,393,276
04013050612,500,314,533,376
04013050613,260,184,227,171
04013050614,62,204,70,91
04013050615,334,221,260,155
04013050616,34,87,88,143
04013050617,129,140,177,142
04013050618,261,464,513,272
04013050619,576,125,340,180
04013050620,337,425,505,289
04013050621,424,454,271,362
04013050701,161,172,264,207
04013050702,221,100,223,208
04013060801,151,151,196,98
04013060802,167,182,190,138
04013060901,375,91,244,291
04013060902,45,158,151,170
04013060903,207,118,172,214
04013060904,131,156,92,229
04013061010,261,128,165,194
04013061011,544,524,149,443
04013061013,272,285,209,231
04013061014,221,36,228,83
04013061015,115,132,165,142
04013061017,71,157,809,656
04013061018,0,0,0,20
04013061020,91,96,108,139
04013061021,49,128,53,136
04013061024,116,119,160,79
04013061026,101,333,140,343
04013061027,67,76,231,106
04013061028,97,92,58,170
04013061029,228,116,262,138
04013061031,126,408,244,641
04013061032,118,330,161,211
04013061033,163,120,128,261
04013061034,282,342,328,493
04013061035,311,144,349,164
04013061036,149,115,256,95
04013061037,355,241,347,216
04013061038,344,137,267,159
04013061039,312,249,290,190
04013061040,212,117,201,169
04013061041,98,167,100,106
04013061042,90,34,82,20
04013061043,80,76,91,96
04013061044,406,472,230,480
04013061045,371,286,352,190
04013061046,143,83,179,151
04013061047,146,193,234,238
04013061048,111,129,81,99
04013061049,150,208,163,254
04013061050,330,145,170,330
04013061051,73,354,71,425
04013061052,274,238,396,272
04013061053,627,241,471,360
04013061054,396,145,240,19
04013061055,245,272,201,298
04013061056,208,52,303,70
04013061057,101,192,31,215
04013061058,175,125,132,147
04013061059,263,255,263,118
04013061060,150,19,144,73
04013061061,142,73,60,116
04013061062,300,206,173,513
04013061063,44,28,86,0
04013061064,12,68,96,125
04013061100,32,56,96,57
04013061200,231,321,90,158
04013061300,48,98,96,102
04013061401,71,157,54,114
04013061402,244,217,308,137
04013071503,0,14,0,13
04013071504,0,33,18,0
04013071505,0,276,23,15
04013071506,0,10,85,16
04013071509,217,157,201,91
04013071510,144,126,217,157
04013071511,99,104,106,158
04013071512,205,248,179,159
04013071513,76,33,77,45
04013071514,64,54,393,201
04013071515,11,41,80,69
04013071516,50,78,90,99
04013071517,198,155,191,166
04013071600,84,166,84,142
04013071701,104,179,70,79
04013071702,14,11,0,31
04013071801,0,26,0,62
04013071802,0,0,25,16
04013071903,257,346,325,169
04013071906,257,112,197,45
04013071909,148,75,101,190
04013071910,289,94,359,79
04013071911,175,147,77,112
04013071912,138,67,79,140
04013071913,105,133,218,336
04013071914,158,67,123,68
04013071915,206,156,54,87
04013082002,127,201,156,161
04013082007,190,122,141,194
04013082008,331,199,94,127
04013082009,70,127,141,195
04013082010,83,240,296,215
04013082012,119,291,229,248
04013082016,228,106,105,71
04013082017,182,223,308,141
04013082018,46,78,167,161
04013082019,59,70,112,28
04013082020,140,229,126,158
04013082021,53,126,49,40
04013082022,236,142,302,141
04013082023,248,178,148,223
04013082024,178,128,136,240
04013082025,108,103,171,110
04013082026,355,92,230,130
04013082027,383,181,271,198
04013082028,221,203,151,97
04013082204,279,307,340,165
04013082205,378,139,288,323
04013082206,211,344,156,356
04013082207,175,152,155,141
04013082208,182,136,109,108
04013082209,53,73,72,40
04013082210,66,109,122,306
04013082211,501,224,235,271
04013082212,256,469,341,181
04013082213,302,378,218,251
04013083000,223,317,286,316
04013092305,323,141,187,107
04013092306,216,61,150,69
04013092307,283,103,221,214
04013092308,230,269,415,191
04013092309,209,206,313,89
04013092311,62,128,38,44
04013092312,327,0,84,201
04013092401,153,256,137,129
04013092402,77,74,59,140
04013092500,81,147,135,152
04013092600,26,236,53,157
04013092705,118,74,143,132
04013092708,63,15,38,64
04013092709,90,248,167,130
04013092710,151,250,36,308
04013092711,68,164,179,109
04013092712,136,143,277,162
04013092713,364,115,270,109
04013092715,259,149,128,176
04013092716,66,113,228,94
04013092717,229,103,364,207
04013092718,227,80,172,126
04013092719,221,200,224,87
04013092720,200,338,149,163
04013092721,163,215,165,158
04013092723,105,85,71,121
04013092724,212,158,153,191
04013092801,225,64,105,215
