NAME,total_population,median_household_income,median_age,total_housing_units,owner_occupied,renter_occupied,pop_25_plus,bachelors_degree,masters_degree,professional_degree,doctorate_degree,total_pop_age_denom,male_18_19,male_20,male_21,male_22_24,male_25_29,male_30_34,female_18_19,female_20,female_21,female_22_24,female_25_29,female_30_34,state,county,tract,geoid,pct_age_18_34,pct_renters,pct_college_plus,county_name
Census Tract 2.01; Pinal County; Arizona,6720,72602,62.4,3246,2843,403,5822,1314,393,96,63,6720,0,82,0,34,109,100,84,0,0,85,69,109,04,021,000201,04021000201,0.1,0.1242,0.3205,Pinal
Census Tract 2.04; Pinal County; Arizona,13584,106685,34.9,4333,3903,430,8538,2022,512,98,116,13584,81,47,60,52,401,576,109,0,23,155,349,431,04,021,000204,04021000204,0.1681,0.0992,0.3219,Pinal
Census Tract 2.06; Pinal County; Arizona,9945,110110,37.1,3656,3375,281,6996,2024,647,118,184,9945,167,20,27,169,257,387,35,26,87,184,435,499,04,021,000206,04021000206,0.2306,0.0769,0.425,Pinal
Census Tract 2.08; Pinal County; Arizona,5105,84132,35.2,1667,1536,131,3366,285,309,14,68,5105,108,53,43,46,166,266,28,35,20,107,138,211,04,021,000208,04021000208,0.2392,0.0786,0.2008,Pinal
Census Tract 2.11; Pinal County; Arizona,5129,93955,34.0,1669,1269,400,3219,595,101,8,72,5129,23,52,15,27,227,194,22,49,44,206,195,176,04,021,000211,04021000211,0.2398,0.2397,0.2411,Pinal
Census Tract 2.12; Pinal County; Arizona,8152,76688,38.3,2519,2177,342,5363,642,92,0,0,8152,116,35,135,112,209,388,311,1,135,119,286,122,04,021,000212,04021000212,0.2415,0.1358,0.1369,Pinal
Census Tract 2.15; Pinal County; Arizona,4383,108496,42.0,1483,1313,170,3080,595,210,10,27,4383,39,27,27,128,184,123,16,21,35,100,72,206,04,021,000215,04021000215,0.2231,0.1146,0.2734,Pinal
Census Tract 2.16; Pinal County; Arizona,4806,99612,33.8,1449,1239,210,2849,650,207,4,0,4806,121,72,53,222,53,117,124,65,10,49,168,150,04,021,000216,04021000216,0.2505,0.1449,0.3022,Pinal
Census Tract 2.17; Pinal County; Arizona,8068,83714,35.0,2456,2011,445,5112,783,42,0,64,8068,243,75,165,130,253,492,154,61,70,161,113,220,04,021,000217,04021000217,0.2649,0.1812,0.1739,Pinal
Census Tract 2.18; Pinal County; Arizona,7349,88393,32.0,2166,1561,605,4296,693,216,35,0,7349,56,14,0,58,118,286,30,51,0,79,347,110,04,021,000218,04021000218,0.1563,0.2793,0.2197,Pinal
Census Tract 2.19; Pinal County; Arizona,3669,92417,30.3,1110,660,450,2073,556,120,0,27,3669,171,26,0,57,101,209,27,0,22,161,96,221,04,021,000219,04021000219,0.2974,0.4054,0.3391,Pinal
Census Tract 2.20; Pinal County; Arizona,4135,106780,35.3,1209,976,233,2417,287,144,0,26,4135,68,12,10,66,15,113,27,0,14,53,102,95,04,021,000220,04021000220,0.1391,0.1927,0.1891,Pinal
Census Tract 2.21; Pinal County; Arizona,5338,97676,36.4,1706,1478,228,3480,550,258,29,32,5338,34,19,68,299,171,265,84,62,156,73,91,257,04,021,000221,04021000221,0.2958,0.1336,0.2497,Pinal
Census Tract 2.22; Pinal County; Arizona,6588,108997,34.9,2181,1810,371,4145,768,110,24,65,6588,217,147,98,91,159,382,54,6,0,169,24,313,04,021,000222,04021000222,0.252,0.1701,0.2333,Pinal
Census Tract 2.23; Pinal County; Arizona,5075,94483,31.6,1528,1327,201,3159,478,106,0,0,5075,73,29,31,90,244,199,17,22,132,142,206,250,04,021,000223,04021000223,0.2828,0.1315,0.1849,Pinal
Census Tract 2.24; Pinal County; Arizona,7292,89089,33.6,2343,1932,411,4797,652,287,0,20,7292,16,78,0,142,328,314,20,49,45,71,358,343,04,021,000224,04021000224,0.2419,0.1754,0.1999,Pinal
Census Tract 2.25; Pinal County; Arizona,2971,91929,31.0,943,817,126,1815,425,105,0,3,2971,46,0,71,35,215,99,84,0,0,34,38,30,04,021,000225,04021000225,0.2195,0.1336,0.2937,Pinal
Census Tract 2.26; Pinal County; Arizona,6718,95902,37.1,2114,1979,135,4468,618,243,66,17,6718,0,0,28,273,247,248,39,79,60,98,185,246,04,021,000226,04021000226,0.2237,0.0639,0.2113,Pinal
Census Tract 2.27; Pinal County; Arizona,4648,101071,38.8,1768,1159,609,3115,843,229,0,54,4648,20,0,12,95,115,134,72,0,0,131,68,65,04,021,000227,04021000227,0.1532,0.3445,0.3615,Pinal
Census Tract 2.28; Pinal County; Arizona,1905,68802,40.6,779,625,154,1379,373,155,0,10,1905,0,22,0,10,32,31,0,9,0,10,0,47,04,021,000228,04021000228,0.0845,0.1977,0.3901,Pinal
Census Tract 2.29; Pinal County; Arizona,5585,83154,39.9,2032,1470,562,3984,698,252,103,0,5585,26,0,91,0,131,230,18,0,0,0,176,188,04,021,000229,04021000229,0.154,0.2766,0.2643,Pinal
Census Tract 3.07; Pinal County; Arizona,2421,114102,50.7,937,888,49,1729,211,135,0,1,2421,33,0,12,22,12,30,92,0,24,13,7,19,04,021,000307,04021000307,0.109,0.0523,0.2007,Pinal
Census Tract 3.09; Pinal County; Arizona,3000,42989,57.3,1564,1129,435,2366,316,62,0,0,3000,14,0,8,87,79,86,0,0,0,27,84,81,04,021,000309,04021000309,0.1553,0.2781,0.1598,Pinal
Census Tract 3.10; Pinal County; Arizona,2919,49875,59.1,1309,1060,249,2388,163,186,0,56,2919,16,0,7,55,44,39,22,28,22,15,53,45,04,021,000310,04021000310,0.1185,0.1902,0.1696,Pinal
Census Tract 3.11; Pinal County; Arizona,3933,88603,48.2,1396,1251,145,2611,445,128,68,21,3933,40,0,0,162,126,129,44,215,34,279,16,10,04,021,000311,04021000311,0.2682,0.1039,0.2535,Pinal
Census Tract 3.12; Pinal County; Arizona,4260,61414,45.8,1731,1402,329,3052,283,125,17,0,4260,101,0,23,143,230,41,41,43,50,53,128,104,04,021,000312,04021000312,0.2246,0.1901,0.1393,Pinal
Census Tract 3.13; Pinal County; Arizona,4158,69342,56.7,1948,1761,187,3502,174,343,59,0,4158,54,26,0,66,37,149,0,0,0,10,38,305,04,021,000313,04021000313,0.1647,0.096,0.1645,Pinal
Census Tract 3.15; Pinal County; Arizona,5716,70263,45.2,2326,1423,903,4492,553,319,19,0,5716,36,0,14,141,192,223,13,0,30,44,252,139,04,021,000315,04021000315,0.1896,0.3882,0.1984,Pinal
Census Tract 3.16; Pinal County; Arizona,7304,117261,66.3,3627,3498,129,6734,1955,711,115,115,7304,34,0,18,0,22,20,85,0,0,18,135,25,04,021,000316,04021000316,0.0489,0.0356,0.4301,Pinal
Census Tract 3.17; Pinal County; Arizona,2333,52083,71.6,1284,1244,40,2204,458,86,10,0,2333,0,0,0,0,0,0,0,0,0,0,70,0,04,021,000317,04021000317,0.03,0.0312,0.2514,Pinal
Census Tract 3.19; Pinal County; Arizona,1879,66250,74.4,1132,1108,24,1879,369,217,64,5,1879,0,0,0,0,0,0,0,0,0,0,0,0,04,021,000319,04021000319,0.0,0.0212,0.3486,Pinal
