place_id,name,latitude,longitude,rating,is_boutique
ChIJp6ue5IQ4K4cR6FxADgfNSm0,Life Time,33.4658771,-112.3715062,4.1,0
ChIJVW_KGSE4K4cRoT1k1C5t6W4,LA Fitness,33.4340695,-112.4296121,4.4,0
ChIJW1cCyw0AK4cRbmLXlEtcipg,Ocotillo Village Health Club & Spa,33.2447173,-111.866602,4.4,0
ChIJB99P-80FK4cRxl9hKLfFNyU,Life Time,33.3413432,-111.9643591,4.1,0
ChIJu_KVE3IwK4cRQsei4QX4Vcw,Presidio Residents Club,33.314804,-112.4397201,4.7,0
ChIJhUEWLupGK4cR6OcbDVXVhSA,Bryant Fitness Center,33.5338856,-112.3602192,4.5,0
ChIJ9zZvMEM_K4cRA9xsYrrDBs4,Mountainside Fitness Avondale,33.4630251,-112.2834988,4.7,0
ChIJQZHex9ETK4cRp4bt4TErjTE,Track Club Fitness,33.4582303,-112.0736573,4.5,0
ChIJH4exgSsNK4cRXwoEaSsPv8w,Life Time,33.5106711,-112.0257407,3.8,0
ChIJoecIIRQHK4cR5JaYmGNpwSM,VASA Fitness,33.32258100000001,-111.860333,4.4,0
ChIJ5wnKofU0K4cRJ4Fy9Zj5xdk,Snap Fitness Buckeye,33.3701849,-112.578157,4.7,0
ChIJ2XKMrRttK4cRnwJbFDQPC3k,VASA Fitness,33.554039,-112.1320266,4.4,0
ChIJeRW6OxkXK4cREz-7QcG9tTw,LA Fitness,33.3759884,-112.1704227,4.2,0
ChIJf2MdGW8-K4cR6oN_oYucpMU,LA Fitness,33.4242933,-112.2713012,4.1,0
ChIJKyRY5s50K4cRkznyGDF7cEw,Gainey Village Health Club & Spa,33.5652923,-111.9201176,4.5,0
ChIJDS5Dlbx2K4cRmwsN1ZQiWt4,Life Time,33.6525119,-111.9331526,3.6,0
ChIJBWPiZSkRK4cREAhIsvOzrHc,Planet Fitness,33.3943999,-112.1355766,4.4,0
ChIJL7Z5avQFK4cRcJocqPOfS64,Arizona Grand Athletic Club,33.3724123,-111.9726497,4.5,0
ChIJz2xiqYMAK4cRLsm88y_Bipg,Mountainside Fitness Chandler Ocotillo,33.277525,-111.8602854,4.6,0
ChIJLTC4VSv7KocRXYxIQhwBkSs,Anytime Fitness,33.071477,-112.0467531,3.8,0
ChIJF25Vyyr7KocRS9ErzgCfNG8,Planet Fitness,33.0658587,-112.0444384,4.4,0
ChIJBXg7zK4BK4cRxI0l4-Ogofo,IronOaks Fitness & Racquet Center,33.2273845,-111.8726175,4.4,0
ChIJ4UQPsSUNK4cR1QcCteSpU0M,Crunch Fitness - Arcadia,33.475373,-111.9843721,5.0,0
ChIJzQrz_HL_KocR54AMEAR2F18,Cottonwood/Palo Verde Fitness Center,33.2177581,-111.8667831,4.5,0
ChIJE62Ts0cEK4cR1TSI6vJesNM,Mountainside Fitness Ahwatukee,33.3211189,-111.9788696,4.7,0
ChIJHz4irl2pK4cRDOo-CXSJXh8,Life Time,33.333739,-111.7828923,3.5,0
ChIJ73uWo7UAK4cRzf04jNQN4AI,480 Fitness,33.3075561,-111.8793268,4.6,0
ChIJueoBGJGqK4cRXNkmS08hKv0,LA Fitness,33.248528,-111.8381307,4.3,0
ChIJ1Q-Oc2-qK4cRyMtv5T1c1-8,Planet Fitness,33.2856413,-111.8429376,4.5,0
ChIJ5Yp8mV2tK4cRkOSpx_59Qk8,Life Time,33.2478443,-111.7574279,3.9,0
ChIJD41h6H2sK4cRQgYBkQ7eAcc,Mountainside Fitness Gilbert,33.2844317,-111.7877335,4.4,0
ChIJnTG2Bh-pK4cRWQ7o3JXtzI4,Physiq Fitness,33.3657875,-111.7878895,4.7,0
ChIJ6XELbjdNKocRLfjV2gtMPxU,Mountainside Fitness Queen Creek,33.2576901,-111.6392797,4.6,0
ChIJtccIIzBLKocRmER_aEvTKOU,Mountainside Fitness San Tan,33.2212296,-111.5667077,4.8,0
ChIJKUTF_XpLKocR3UROIBgbG0w,Anytime Fitness,33.2478564,-111.5614559,3.7,0
ChIJ6xO4Di9JKocRLs8g0qWrgwY,Anytime Fitness,33.1613121,-111.5607452,3.8,0
ChIJVVWVhf1AKocRgt569qWjc1U,Arizona Fitness Club,32.9958808,-111.5225506,4.3,0
ChIJ0XDVYrOzK4cRG3ZxKcHA1ks,Peak Fitness & Recovery,33.300146,-111.6299468,5.0,0
ChIJT77njhCzK4cRfdwfH4D7sEY,Mountainside Fitness Cadence East Mesa,33.31884,-111.6334228,4.7,0
ChIJT4bTD5lHK4cRjNhS216IjaY,PebbleCreek Tuscany Sports & Aquatics Complex,33.4813544,-112.4070056,4.8,0
ChIJRTHGZJESK4cRCpdv2ARq3rE,Tangible Wellness Fitness Center,33.4806006,-112.0494849,4.7,0
ChIJmczC2V0SK4cR2Vb67-H7Ujg,Phoenix Plaza Fitness Center,33.4811894,-112.0723772,4.7,0
ChIJk6tF5UcbK4cRIHyN5H0inJQ,Ahwatukee Foothills Family YMCA,33.2965668,-112.0599048,4.5,0
ChIJm2JxU3UHK4cRNj8k2c5Vmdw,Elev8 Fitness,33.3060798,-111.9256536,4.1,0
ChIJLyKt-u8HK4cRiQRv61pq5H0,ATP Gym,33.3170014,-112.0024729,5.0,0
ChIJm0cHEsMIK4cRQmfsvOBArrs,Sun Devil Fitness Complex,33.4152209,-111.932521,4.7,0
ChIJjcqE-VwFK4cRI-lxKkWf9xE,Fitness 48,33.3206848,-111.9913915,5.0,0
ChIJUekP_nQFK4cRr51XVhX3cX4,Anytime Fitness,33.3316471,-111.9779995,4.5,0
ChIJ3090YTkEK4cR3LLIpEa1BRM,Planet Fitness,33.3206569,-111.9703386,4.6,0
ChIJ32OFk_cAK4cRgxwZ1UWLN6I,The Fitness Center at Chandler,33.2657105,-111.8915517,3.5,0
ChIJtUC4s30HK4cRNAcOGbvyPMA,Planet Fitness,33.3474959,-111.8607557,4.6,0
ChIJ3RWVrwytK4cRCDKJgNm4jZE,LA Fitness,33.3265938,-111.7220763,4.0,0
ChIJzUoev0-tK4cR_sVLnS2l9fM,Planet Fitness,33.261719,-111.756988,4.7,0
ChIJ26RUojqrK4cR9ipT8TPcAAw,Fitness 1440 Gilbert,33.3082191,-111.7713577,4.1,0
