gym_id,gym_name,cluster,address,latitude,longitude,rating,review_count,square_footage,tier,monthly_dues_base,amenities,grand_opening_date,status,monthly_checkins,monthly_members
eos-az-001,EōS Fitness,Avondale,"3005 N Dysart Rd, Avondale, AZ 85392, USA",33.4801112,-112.3390477,4.3,1609,,,,,,open,0,0
eos-az-002,EōS Fitness,Casa Grande,"1214 E Florence Blvd #1, Casa Grande, AZ 85122, USA",32.8805542,-111.7341884,4.6,162,,,,,,open,0,0
eos-az-003,EōS Fitness,Chandler,"4949 W Ray Rd, Chandler, AZ 85226, USA",33.3182429,-111.9272518,4.4,1309,,,,,,open,0,0
eos-az-004,EōS Fitness,Chandler,"1970 E Ray Rd, Chandler, AZ 85225, USA",33.322377,-111.8079515,4.4,1741,,,,,,open,0,0
eos-az-005,EōS Fitness,Chandler,"4185 S Gilbert Rd, Chandler, AZ 85249, USA",33.2455602,-111.7880343,4.3,1293,,,,,,open,0,0
eos-az-006,EōS Fitness,Gilbert,"3025 S Val Vista Dr, Gilbert, AZ 85295, USA",33.2970291,-111.7533518,4.7,1623,,,,,,open,0,0
eos-az-007,EōS Fitness,Gilbert,"3300 S Higley Rd, Gilbert, AZ 85297, USA",33.2909459,-111.7228989,4.4,1815,,,,,,open,0,0
eos-az-008,EōS Fitness,Gilbert,"7540 S Power Rd, Gilbert, AZ 85297, USA",33.2795753,-111.6876983,4.4,1110,,,,,,open,0,0
eos-az-009,EōS Fitness,Glendale,"5070 W Olive Ave, Glendale, AZ 85302, USA",33.5686552,-112.1678406,4.3,2275,,,,,,open,0,0
eos-az-010,EōS Fitness,Glendale,"4355 W Glendale Ave, Glendale, AZ 85301, USA",33.5373189,-112.1532319,4.4,706,,,,,,open,0,0
eos-az-011,EōS Fitness,Glendale,"5860 W Thunderbird Rd, Glendale, AZ 85306, USA",33.6127316,-112.1842852,4.3,1344,,,,,,open,0,0
eos-az-012,EōS Fitness,Glendale,"5070 N 83rd Ave, Glendale, AZ 85305, USA",33.510074,-112.2380086,4.3,1619,,,,,,open,0,0
eos-az-013,EōS Fitness,Glendale,"20255 N 59th Ave, Glendale, AZ 85308, USA",33.6700763,-112.1845646,4.3,1628,,,,,,open,0,0
