geoid,centroid_lat,centroid_lon,land_area_sqmi
04013010102,33.7128794,-111.5743081,1045.514
04013010103,33.7535864,-111.7538552,14.535
04013010104,33.7346108,-111.6804374,6.347
04013030401,33.8175437,-111.9168671,10.246
04013030402,33.8615277,-111.938807,22.507
04013040502,33.9760855,-112.7494299,7.874
04013040506,33.6577414,-112.3366887,2.438
04013040507,33.6569045,-112.362634,2.935
04013040512,33.6772529,-112.3904639,0.767
04013040513,33.6746354,-112.3658563,1.459
04013040514,33.6751948,-112.3382757,1.557
04013040515,33.8241902,-113.0044501,873.155
04013040516,33.6767067,-112.7240487,146.181
04013040522,33.6874823,-112.3771475,1.76
04013040523,33.6907306,-112.3477499,1.724
04013040524,33.6759453,-112.4169856,0.834
04013040525,33.6607653,-112.4269715,1.365
04013040526,33.6454883,-112.4432741,0.962
04013040527,33.6463218,-112.4265743,0.941
04013040528,33.6527184,-112.4037208,2.985
04013040529,33.6641908,-112.3937125,1.581
04013040530,33.6438075,-112.3838942,0.637
04013040531,33.6451281,-112.3676447,1.032
04013040532,33.7031905,-112.3063617,9.071
04013040533,33.7107807,-112.3333009,4.315
04013040534,33.7377243,-112.331158,2.172
04013040535,33.8465746,-112.3603255,86.188
04013040536,33.7485027,-112.3190631,2.622
04013040537,33.7675559,-112.3036934,5.294
04013040538,33.7097997,-112.3875564,11.419
04013040539,33.8643039,-112.5381576,164.648
04013040540,33.6917028,-112.4962657,32.161
04013040541,33.7565722,-112.5578347,26.569
04013050603,33.3162347,-113.0618727,1334.109
04013050604,33.3568036,-112.7756801,119.2
04013050609,33.4524436,-112.5356941,4.181
04013050611,33.3845494,-112.5164544,22.796
04013050612,33.448367,-112.4930588,6.621
04013050613,33.4217311,-112.4953171,7.736
04013050614,33.4273116,-112.5456874,1.518
04013050615,33.4266011,-112.5727511,3.543
04013050616,33.4208764,-112.6071597,2.287
04013050617,33.3840036,-112.6293503,29.974
04013050618,33.4838138,-112.5029196,1.516
04013050619,33.4947209,-112.4843023,8.881
04013050620,33.5419142,-112.5780922,154.449
04013050621,33.5421899,-112.7460201,100.773
04013050701,33.3850893,-112.5817883,2.831
04013050702,33.3707199,-112.582303,3.116
04013060801,33.6318859,-112.3316377,1.42
04013060802,33.6197635,-112.3143932,1.531
04013060901,33.6178907,-112.3353713,0.641
04013060902,33.612051,-112.3261717,0.555
04013060903,33.60171,-112.3203341,0.5
04013060904,33.6016684,-112.3110112,0.56
04013061010,33.4989522,-112.3594703,2.513
04013061011,33.5323577,-112.3264989,6.274
04013061013,33.5013997,-112.3261467,1.768
04013061014,33.4834525,-112.325033,1.487
04013061015,33.4723401,-112.3316542,0.99
04013061017,33.471398,-112.4375771,1.301
04013061018,33.4866763,-112.4004935,2.664
04013061020,33.4857395,-112.3677102,0.935
04013061021,33.4847062,-112.3482487,0.742
04013061024,33.4137948,-112.3997843,5.683
04013061026,33.6315885,-112.4181095,1.006
04013061027,33.6314831,-112.4017435,0.899
04013061028,33.6344581,-112.3676149,2.053
04013061029,33.6311855,-112.3506834,1.032
04013061031,33.5970904,-112.4331614,8.859
04013061032,33.6183909,-112.40273,0.897
04013061033,33.6117732,-112.3839564,0.989
04013061034,33.6165068,-112.3678926,1.001
04013061035,33.6163866,-112.3507002,0.983
04013061036,33.5877401,-112.4030248,0.914
04013061037,33.6022107,-112.3851425,0.998
04013061038,33.5876988,-112.3850313,1.002
04013061039,33.5955848,-112.361302,3.959
04013061040,33.6019505,-112.3378089,0.482
04013061041,33.601576,-112.329193,0.517
04013061042,33.5875997,-112.3173497,0.827
04013061043,33.5727973,-112.333106,5.468
04013061044,33.5627619,-112.4016614,14.032
04013061045,33.5301537,-112.4231769,15.777
04013061046,33.5295927,-112.3500769,0.992
04013061047,33.5133669,-112.3503455,0.959
04013061048,33.4688752,-112.3538833,1.432
04013061049,33.4282146,-112.4009683,0.987
04013061050,33.4283671,-112.4267914,2.009
04013061051,33.4429158,-112.4181311,1.009
04013061052,33.4431709,-112.3920848,1.953
04013061053,33.4557236,-112.4013721,2.309
04013061054,33.4701401,-112.4005312,3.605
04013061055,33.5006201,-112.3984667,2.418
04013061056,33.488963,-112.4517571,5.916
04013061057,33.4525456,-112.4412605,2.992
04013061058,33.4048935,-112.4176024,13.543
04013061059,33.6193732,-112.4460019,0.792
04013061060,33.6162951,-112.4324134,0.621
04013061061,33.6315728,-112.4309035,0.486
04013061062,33.6311366,-112.4468752,1.334
04013061063,33.4539858,-112.3587089,1.118
04013061064,33.468442,-112.3667229,1.372
04013061100,33.5359445,-112.3736454,3.955
04013061200,33.4461284,-112.3388821,1.693
04013061300,33.4414474,-112.3633791,1.446
04013061401,33.432742,-112.3495978,0.277
04013061402,33.4264916,-112.3443359,0.889
04013071503,33.6103118,-112.2784919,1.55
04013071504,33.628581,-112.2828839,1.278
04013071505,33.6233312,-112.2981718,2.302
04013071506,33.6251239,-112.2657735,1.579
04013071509,33.6235625,-112.2284638,1.849
04013071510,33.6032519,-112.2114133,1.004
04013071511,33.631369,-112.2099467,0.907
04013071512,33.6029139,-112.2289092,1.009
04013071513,33.6185011,-112.2129207,1.014
04013071514,33.6307547,-112.2452363,1.141
04013071515,33.6164861,-112.2476616,1.02
04013071516,33.6033854,-112.260685,0.94
04013071517,33.6010767,-112.2466222,0.93
04013071600,33.5916464,-112.3045197,0.987
04013071701,33.5727181,-112.3050618,0.743
04013071702,33.5855768,-112.2958744,1.336
04013071801,33.5901306,-112.2765983,2.091
04013071802,33.5726345,-112.2798313,1.118
04013071903,33.588797,-112.2115599,1.001
04013071906,33.5740472,-112.2472931,1.247
04013071909,33.5726323,-112.2661232,0.722
04013071910,33.5884666,-112.2289674,1.002
04013071911,33.5737302,-112.228584,0.95
04013071912,33.5857869,-112.255389,0.434
04013071913,33.5892199,-112.2456888,0.834
04013071914,33.5742426,-112.215934,0.501
04013071915,33.5743756,-112.2072845,0.495
04013082002,33.4994539,-112.280234,1.01
04013082007,33.5015352,-112.2507274,0.497
04013082008,33.5015368,-112.2420807,0.502
04013082009,33.4869963,-112.2508164,0.503
04013082010,33.4870407,-112.2421267,0.501
04013082012,33.499953,-112.3008303,1.127
04013082016,33.4956865,-112.2640759,2.006
04013082017,33.4706714,-112.2638912,1.218
04013082018,33.4760517,-112.2464894,0.512
04013082019,33.4896483,-112.301829,0.676
04013082020,33.4807297,-112.3036975,0.718
04013082021,33.486432,-112.2812848,1.025
04013082022,33.4664637,-112.3169254,1.448
04013082023,33.4696274,-112.298403,1.216
04013082024,33.4702087,-112.2812088,1.234
04013082025,33.4495644,-112.3224705,1.349
04013082026,33.4424851,-112.3151158,0.978
04013082027,33.4504244,-112.292708,2.44
04013082028,33.4687756,-112.2466002,0.494
04013082204,33.4097505,-112.2633343,3.685
04013082205,33.4292554,-112.246943,0.969
